simple_ingr,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Niacin,Data.Protein,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,Cluster
Dates,9087.0,0.0,6.0,0.0,75.03,0.0,6.3,8.0,75.0,0.0,1.274,2.45,0.0,0.066,3.0,63.35,0.052,20.53,0.036,0.019,0.032,0.39,39.0,0.206,1.02,43.0,62.0,656.0,2.0,0.29,0.0,0.0,0.165,0.4,0.05,2.7,2
Dessert Topping,1073.0,0.0,86.0,0.0,23.05,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.1,23.05,0.0,50.21,1.616,0.523,21.783,25.31,6.0,0.03,0.12,2.0,8.0,18.0,25.0,0.03,7.0,0.0,0.0,0.0,0.96,6.3,2
Dip,27058.5,0.0,56.0,15.0,13.515,4.5,12.1,2.8000000000000003,33.5,150.0,0.283,4.29,11.0,0.0825,5.45,1.47,0.051,73.33500000000001,1.8105,2.8,1.51,6.605,62.0,0.1,0.8700000000000001,24.0,152.5,236.5,619.5,0.5499999999999999,16.5,0.125,0.079,0.5,1.385,9.65,2
Doughnuts,18251.5,0.5,2.0,0.5,47.495000000000005,20.0,33.2,1.9,27.5,0.0,2.76,5.725,4.0,0.243,12.9,20.45,0.351,21.41,7.896000000000001,3.7515,10.279,23.815,70.5,0.089,2.455,17.0,188.5,118.0,396.5,0.5549999999999999,4.5,0.0849999999999999,0.0435,0.6,1.71,10.65,3
Dove,43287.0,0.0,0.0,0.0,0.0,116.0,63.6,0.0,0.0,0.0,7.6,23.9,28.0,0.35,20.1,0.0,0.28,62.0,5.462,2.733,3.739,13.0,17.0,0.763,5.91,26.0,332.0,256.0,57.0,3.83,28.0,0.41,0.57,2.9,0.06,4.0,3
Dressing,4706.0,0.0,2.0,0.0,38.43,1.0,5.5,1.2,15.0,0.0,0.151,1.07,4.0,0.021,6.2,17.75,0.043,56.17,0.708,0.287,0.349,1.47,24.0,0.04,0.36,13.0,37.0,69.0,1004.0,0.29,5.0,0.02,0.053,2.1,0.8,0.3,2
Duck,5141.0,0.0,0.0,0.0,0.0,86.5,57.7,0.0,0.0,0.0,4.9625,21.235,43.0,0.3695,21.2,0.0,0.217,58.03,8.379,2.5685,6.8105,19.775,11.5,0.229,2.7,18.0,179.5,228.0,62.0,2.23,43.0,0.35,0.215,0.0,0.7,4.449999999999999,3
Dulce de Leche,1225.0,0.0,14.0,0.0,55.35,29.0,89.1,0.0,0.0,0.0,0.21,6.84,73.0,0.405,2.7,49.74,0.016,28.71,2.143,0.375,4.534,7.35,251.0,0.004,0.17,22.0,193.0,350.0,129.0,0.79,74.0,0.31,0.016,2.6,0.2,1.3,2
Dumpling,32025.0,0.0,1.0,0.0,29.64,4.0,9.6,0.9,8.0,0.0,2.198,5.26,3.0,0.222,13.4,1.75,0.293,57.25,1.243,3.236,1.316,6.14,35.0,0.063,1.26,16.0,79.0,107.0,474.0,0.44,3.0,0.08,0.062,5.3,0.98,7.9,2
Edamame,11212.0,0.0,175.0,8.0,8.91,0.0,56.3,5.2,1619.0,0.0,0.915,11.91,0.0,0.155,0.8,2.18,0.2,72.77,1.282,2.156,0.62,5.2,63.0,0.345,2.27,64.0,169.0,436.0,6.0,1.37,15.0,0.0,0.1,6.1,0.68,26.7,2
Egg,1141.888888888889,4.222222222222222,30.22222222222222,13.555555555555555,1.471111111111111,678.8888888888889,385.3666666666667,0.0,450.55555555555554,0.0,0.143,16.636666666666667,167.88888888888889,0.652888888888889,49.86666666666666,0.8433333333333333,0.1135555555555555,66.37,5.866111111111112,2.229111111111111,4.649555555555556,13.862222222222222,80.33333333333333,0.0436666666666666,2.871111111111111,15.88888888888889,252.33333333333331,197.88888888888889,176.55555555555554,1.653333333333333,171.0,2.157777777777778,0.2126666666666666,0.0555555555555555,1.5377777777777777,0.4222222222222222,0
Egg rolls,22954.0,692.0,1621.0,0.0,29.936666666666667,9.333333333333334,28.766666666666666,2.3000000000000003,225.33333333333331,3.333333333333333,2.799666666666667,8.776666666666666,0.6666666666666666,0.175,17.066666666666666,5.616666666666667,0.253,52.96,1.83,2.561,1.23,6.216666666666666,43.66666666666666,0.0976666666666666,1.7299999999999998,24.33333333333333,93.66666666666669,238.33333333333331,458.3333333333333,0.6233333333333334,164.66666666666666,0.0833333333333333,0.1849999999999999,15.733333333333334,0.4633333333333334,28.6,2
Eggnog,1057.0,0.0,7.0,0.0,8.05,59.0,52.2,0.0,54.0,0.0,0.105,4.55,58.0,0.19,4.2,8.05,0.034,82.54,1.302,0.198,2.591,4.19,130.0,0.013,0.2,19.0,109.0,165.0,54.0,0.46,59.0,0.45,0.05,1.5,0.21,0.3,2
